Literature	T(K)	P(bar)	mCO2
7	298.15	47.92	1.2636
7	298.15	47.92	1.27069
7	298.15	47.92	1.25879
7	323.15	47.92	0.77219
7	323.15	47.92	0.77231
7	323.15	47.92	0.77316
7	323.15	47.92	0.76903
7	348.15	47.92	0.5572
7	348.15	47.92	0.55911
7	348.15	47.92	0.55386
7	348.15	47.92	0.55863
8	298.15	47.92	1.2555
8	373.15	47.92	0.45058
8	373.15	47.92	0.45034
8	373.15	47.92	0.44845
8	423.15	47.92	0.35172
8	423.15	47.92	0.3536
1	323.15	200	1.3067
1	323.15	500	1.599
1	323.15	1000	2.0132
1	323.15	1500	2.1926
1	373.15	200	1.1328
1	373.15	500	1.599
1	373.15	1000	2.0729
1	373.15	1500	2.3731
1	423.15	200	1.1907
1	423.15	500	1.9537
1	423.15	1000	2.4941
1	423.15	1500	2.9215
1	473.15	200	1.365
1	473.15	500	2.6156
1	473.15	1000	3.606
1	473.15	1500	4.3712
1	523.15	200	1.599
1	523.15	500	4.178
1	523.15	1000	7.5693
1	523.15	1500	9.7188
1	533.15	200	1.5403
1	533.15	500	4.5006
1	533.15	1000	8.8864
1	533.15	1500	12.6
1	323.15	2000	2.3731
1	323.15	2500	2.6156
1	373.15	2000	2.6156
1	373.15	2500	2.86
1	423.15	2000	3.2306
1	473.15	2000	4.8924
1	323.15	3000	2.7987
1	373.15	3000	3.1066
1	538.15	200	1.4817
1	538.15	500	4.8268
1	538.15	1000	10.1819
1	538.15	1500	15.2028
1	538.15	2000	20.7393
1	323.15	3500	3.0447
1	373.15	3500	3.2928
1	423.15	3500	4.178
1	473.15	3500	5.8268
1	540.15	200	1.4817
1	540.15	500	4.9582
1	540.15	1000	11.3691
1	540.15	1500	17.5288
1	540.15	1890	36.2408
1	541.15	200	1.4817
1	541.15	300	2.7987
1	541.15	400	3.7954
1	541.15	500	5.0242
1	541.15	600	5.8268
1	541.15	700	7.4262
1	541.15	800	8.8864
1	541.15	900	10.573
1	541.15	1000	12.1022
1	541.15	1100	13.6178
1	541.15	1200	14.8443
1	541.15	1300	16.3936
1	541.15	1400	18.3058
1	541.15	1500	21.3729
1	541.15	1620	34.7489
1	543.15	200	1.4817
1	543.15	300	2.86
1	543.15	400	3.9224
1	543.15	500	5.2894
1	543.15	600	6.3049
1	543.15	700	7.8573
1	543.15	800	9.6422
1	543.15	900	11.3691
1	543.15	1000	13.0204
1	543.15	1100	14.4895
1	543.15	1200	16.2078
